dac	eIntergenic	kIntergenic	eIntrons	kIntrons
1	1312779	1437950	913775	1026966
2	761275	601372	528043	427983
3	472422	310603	328579	219982
4	323829	191741	225902	136453
5	238757	134517	165876	95343
6	180891	100406	126762	71516
7	144759	79186	100858	56361
8	116881	65381	82178	45911
9	97828	55295	67890	38408
10	81968	47442	57482	32868
11	69754	41593	49737	28992
12	60653	36558	42415	25793
13	53045	33365	37358	22885
14	47306	30378	33261	21141
15	41896	28009	29652	19553
16	37545	25854	26441	17831
17	34132	24027	24060	16783
18	30804	22553	21501	15878
19	28013	21213	20076	14879
20	25932	20174	18652	14317
21	23977	18954	17103	13443
22	22417	18022	15917	12815
23	20846	17573	14823	12190
24	19536	16837	13923	11685
25	18588	16136	12962	11307
26	17062	15626	12357	10731
27	16184	15073	11751	10479
28	15494	14966	10920	10190
29	14688	14150	10527	9985
30	14004	13897	10139	9718
31	13306	13871	9752	9527
32	12920	13273	9295	9209
33	12505	12940	8772	9098
34	12084	12660	8548	8798
35	11484	12553	8324	8507
36	11089	12258	8016	8744
37	10681	12272	7977	8426
38	10598	12311	7681	8554
39	10734	12380	7528	8502
40	10280	12430	7426	8647
41	10229	12386	7266	8609
42	10433	12291	7286	8795
43	10337	12691	7376	9068
44	10421	13200	7483	9266
45	10544	13883	7556	9913
46	11633	15870	8126	11177
47	15782	25277	11444	18148
