dac	eIntrons	kIntrons	eIntergenic	kIntergenic
1	1019099	1154274	1461458	1618933
2	569097	466225	820226	655921
3	356646	241847	513471	341990
4	247673	151262	355308	213536
5	183504	106724	264432	151310
6	141606	80853	202911	114212
7	114205	64357	164155	91181
8	94044	52910	134170	76045
9	78767	44607	113355	64743
10	67403	38790	96495	56308
11	58860	34341	82927	49561
12	51172	30888	73172	43910
13	45634	27804	64895	40505
14	41150	25875	58488	37215
15	37192	24055	52717	34434
16	33996	22168	47874	32314
17	31215	21052	44122	30412
18	28442	20222	40670	28536
19	26908	18965	37873	27076
20	25332	18206	35566	26122
21	23752	17518	33506	24718
22	22440	16852	31589	23620
23	21517	16120	30147	23197
24	20479	15758	28914	22666
25	19461	15140	27873	21731
26	18715	14671	26267	21308
27	18331	14429	25343	20770
28	17505	14082	24884	20649
29	17197	14006	24086	19870
30	17019	13680	23803	19680
31	16623	13618	23089	19760
32	16387	13384	22939	19364
33	16015	13253	22800	18983
34	16086	13189	22923	19051
35	16108	12919	22552	18936
36	16270	13325	22716	19111
37	16667	13224	22935	19390
38	16809	13669	23475	20012
39	17385	14083	24632	20555
40	18101	14643	25556	21318
41	19026	15494	27192	22172
42	20388	16489	29664	23615
43	22592	18126	32393	25951
44	26049	20976	37243	30205
45	31161	26323	44613	38274
46	42269	39703	61675	57382
47	108450	120509	154930	172460
