gene	scaffold	start	end	exonLen	CDSlen	nonCDSLen	eExp	kExp	eRPK	kRPK	eTPM	kTPM	eSyn#	eSyns	eMis#	eMiss	kSyn#	kSyns	kMis#	kMiss	eSynFix	eMisFix	kSynFix	kMisFix	epN/pS	kpN/pS
A1CF	NW_008794890.1	753890	779642	1925	1759	23993	3830	2238	2177.37350767482	1272.31381466742	42.0803787131822	26.7217123454178	5	17	2	2	1	7	3	5	0	0	0	2	0.4	3
A2M	NW_008795376.1	142655	174733	4489	4410	27668	55400	65928	12562.358276644	14949.6598639456	242.782780238919	313.979543364947	12	34	8	16	12	147	4	43	0	4	3	2	0.666666666666667	0.333333333333333
A4GNT	NW_008795924.1	1373811	1376728	1176	1176	1741	0	0	0	0	0	0	1	1	2	3	2	7	1	1	0	0	0	1	2	0.5
AAAS	NW_008795019.1	212169	220021	1474	1291	6561	1632	1358	1264.13632842758	1051.89775367932	24.4309647645757	22.0924341672399	5	31	2	3	0	0	0	0	0	0	0	0	0.4	
AACS	NW_008794776.1	336	51231	3099	1974	48921	8280	3818	4194.52887537994	1934.14387031408	81.0643479298395	40.6217676341869	6	95	4	13	2	38	6	6	0	0	0	1	0.666666666666667	3
AADAC	NW_008794154.1	3715228	3726506	1207	1207	10071	210	110	173.985086992543	91.1350455675228	3.36247241242067	1.91405960083713	4	15	8	25	1	1	4	11	0	0	0	2	2	4
AADAT	NW_008794543.1	3444211	3461479	2254	1265	16003	3118	2327	2464.82213438735	1839.52569169961	47.6356713765732	38.6345536918119	2	58	3	6	8	119	2	2	0	0	0	1	1.5	0.25
AAGAB	NW_008795371.1	5212669	5227098	1449	610	13819	4565	3109	7483.60655737705	5096.72131147541	144.629755512719	107.043654812163	2	28	0	0	2	2	0	0	0	0	0	0	0	0
AAK1	NW_008794711.1	101536	189123	9340	3870	83717	12962	8370	3349.35400516796	2162.79069767442	64.7303204917246	45.4239121043484	10	155	7	30	16	95	7	31	1	0	1	0	0.7	0.4375
AAMDC	NW_008796046.1	2673384	2681573	1699	366	7823	1931	2815	5275.95628415301	7691.25683060109	101.964241655736	161.535267661756	2	5	1	1	2	24	1	1	0	0	0	0	0.5	0.5
AAMP	NW_008794888.1	4612488	4625313	2159	1347	11478	3915	3056	2906.45879732739	2268.74536005939	56.1708344823229	47.6492200254506	12	119	5	9	10	91	1	1	1	0	1	1	0.416666666666667	0.1
AANAT	NW_008795314.1	1142279	1144080	615	615	1186	69	33	112.19512195122	53.6585365853659	2.16830654218839	1.12696094546849	5	7	0	0	3	7	2	3	0	0	0	1	0	0.666666666666667
AAR2	NW_008795704.1	1242036	1248473	1882	801	5636	2023	1591	2525.59300873908	1986.26716604245	48.8101420856352	41.7164847542023	1	1	0	0	1	1	2	2	0	0	0	0	0	2
AARS	NW_008794457.1	1323290	1340506	2950	2887	14329	9392	6802	3253.20401801178	2356.07897471424	62.8721056018409	49.4834402484719	12	70	2	4	4	33	1	47	0	0	0	0	0.166666666666667	0.25
AARS2	NW_008795857.1	3593343	3611015	3103	2562	15110	1903	2191	742.779078844653	855.191256830601	14.3551048214001	17.9611150188738	5	19	7	11	6	22	6	10	0	0	0	0	1.4	1
AASDH	NW_008795127.1	7086299	7107621	3824	3373	17949	905	738	268.3071449748	218.796323747406	5.18536035833796	4.5952597213144	17	122	14	82	9	55	16	141	1	0	0	0	0.823529411764706	1.77777777777778
AASDHPPT	NW_008795043.1	194911	236104	4947	963	40230	1774	904	1842.15991692627	938.733125649014	35.6019703010362	19.7156992744474	1	6	6	54	3	4	6	21	0	0	0	0	6	2
AASS	NW_008796110.1	4237151	4267586	5334	2857	27578	5592	5769	1957.29786489324	2019.25096254813	37.827150518225	42.4092254225216	2	5	4	58	3	20	4	4	0	0	0	0	2	1.33333333333333
AATF	NW_008795131.1	4100744	4160208	3035	1847	57617	2387	1766	1292.36599891716	956.145100162426	24.9765373183719	20.0813934679312	6	25	9	54	5	11	3	6	0	0	1	0	1.5	0.6
AATK	NW_008795038.1	796390	813160	3548	3533	13237	3703	3331	1048.11774695726	942.824794791962	20.2561441904692	19.8016343673388	33	145	14	69	16	75	13	66	0	0	0	1	0.424242424242424	0.8125
ABAT	NW_008794125.1	5724825	5771348	3723	1488	45035	33496	22639	22510.752688172	15214.3817204301	435.047544621148	319.539351974252	7	25	0	0	5	38	1	1	0	0	0	0	0	0.2
ABCA12	NW_008795936.1	1976537	2068901	11913	11913	80451	16944	9581	1422.3117602619	804.247460757156	27.4878964537178	16.8911702860847	28	209	25	170	22	109	23	202	6	3	3	0	0.892857142857143	1.04545454545455
ABCA13	NW_008795243.1	945163	1152750	12131	12131	195456	1188	322	97.930920781469	26.5435660703982	1.89263358798536	0.557480024957661	30	309	50	219	21	136	47	228	0	0	2	3	1.66666666666667	2.23809523809524
ABCA2	NW_008794455.1	241574	281298	10171	7278	32446	18655	12765	2563.2041769717	1753.91591096455	49.5370234394751	36.8365382113666	50	371	6	16	25	132	6	10	1	0	1	0	0.12	0.24
ABCA3	NW_008794125.1	912444	937351	5251	5097	19810	9700	5629	1903.08024328036	1104.37512262115	36.7793293509533	23.194587693628	29	139	5	11	13	165	8	59	0	0	0	0	0.172413793103448	0.615384615384615
ABCA4	NW_008794451.1	2136560	2214709	6792	6782	71367	164	145	24.1816573282218	21.3801238572692	0.467339799394648	0.449035067478767	19	87	12	97	17	97	18	125	1	0	0	0	0.631578947368421	1.05882352941176
ABCA5	NW_008795715.1	831695	863223	8313	4909	26619	13663	8000	2783.25524546751	1629.65980851497	53.7897767066133	34.2268551374716	18	90	13	31	17	113	4	42	0	0	1	1	0.722222222222222	0.235294117647059
ABCA7	NW_008795320.1	1774519	1814450	5541	5541	34390	572	430	103.230463815196	77.6033207002346	1.99505367212801	1.6298601719914	42	237	34	103	15	111	21	51	0	0	0	0	0.80952380952381	1.4
ABCB1	NW_008795018.1	12223794	12271667	3766	3492	44381	692	719	198.167239404353	205.899198167239	3.82982177990494	4.32438843479456	4	17	3	4	2	9	6	13	1	0	0	0	0.75	3
ABCB10	NW_008795520.1	2513114	2545174	2371	1710	30350	1413	1602	826.315789473684	936.842105263158	15.9695528742181	19.6759832058112	3	27	3	8	2	2	1	1	0	0	0	0	1	0.5
ABCB11	NW_008794888.1	9397	52575	4067	4067	39111	5583	2242	1372.75633144824	551.26628964839	26.5301778058043	11.5779448811224	8	34	4	65	3	23	3	3	0	0	1	2	0.5	1
ABCB5	NW_008795527.1	3860821	3895966	3956	3944	31201	22810	42814	5783.46855983773	10855.476673428	111.772530719199	227.991649305137	13	114	8	75	9	35	9	13	0	0	0	1	0.615384615384615	1
ABCB6	NW_008794888.1	4095243	4101310	2654	2504	3563	3210	4578	1281.94888178914	1828.27476038339	24.7752139201116	38.3982565245689	15	79	3	13	5	63	4	13	1	1	0	0	0.2	0.8
ABCB7	NW_008794630.1	2356187	2398295	2967	2129	39979	2306	2180	1083.13762329732	1023.9549084077	20.9329456917662	21.5055658452483	5	19	3	10	6	51	4	4	0	0	0	0	0.6	0.666666666666667
ABCB9	NW_008795859.1	2376251	2389515	2413	2413	10851	1450	886	600.911728139246	367.177786987153	11.6133465407575	7.71163457504586	28	188	6	13	4	20	3	5	0	0	1	0	0.214285714285714	0.75
ABCC10	NW_008795857.1	4563163	4579490	4984	4599	11728	2489	1670	541.20460969776	363.122417916938	10.4594342023211	7.62646187276164	16	86	16	94	12	50	10	22	0	1	1	5	1	0.833333333333333
ABCC2	NW_008795129.1	10633659	10651611	4615	4615	13337	2368	1691	513.109425785482	366.413867822319	9.91646076442538	7.69559039793914	23	162	16	68	15	180	9	72	0	0	0	1	0.695652173913044	0.6
ABCC3	NW_008795318.1	1080580	1118398	4803	4631	33187	1073	685	231.699416972576	147.916216799827	4.47787170159951	3.10660353678595	23	269	9	44	10	37	8	9	0	0	1	0	0.391304347826087	0.8
ABCC4	NW_008795023.1	6844	127569	3700	3700	117025	579	430	156.486486486486	116.216216216216	3.02429077585254	2.44082573324441	6	24	2	2	7	28	2	2	0	0	2	0	0.333333333333333	0.285714285714286
ABCC5	NW_008795629.1	5349618	5401801	6510	4320	47863	3841	2923	889.12037037037	676.62037037037	17.1833274240323	14.2106881931587	7	58	2	2	5	9	2	4	0	0	1	0	0.285714285714286	0.4
ABCC8	NW_008796218.1	3431230	3521221	4821	4703	85288	1049	747	223.049117584521	158.834786306613	4.31069419487008	3.33592029042038	21	136	1	4	8	35	5	6	2	0	0	0	0.0476190476190476	0.625
ABCC9	NW_008795252.1	8053702	8130459	5824	4785	71972	1674	2729	349.843260188088	570.323928944619	6.76114448305656	11.97820207348	28	229	5	24	14	48	2	27	1	0	0	0	0.178571428571429	0.142857142857143
ABCD2	NW_008796221.1	2785623	2837671	6452	2207	49841	7959	5158	3606.25283189851	2337.10919800634	69.6952012903975	49.0850283860827	5	18	1	1	1	27	1	1	0	0	2	0	0.2	1
ABCD3	NW_008794451.1	1993115	2016670	7001	1785	21770	9200	6751	5154.06162464986	3782.07282913165	99.6084798092145	79.4328105569569	5	17	2	3	2	4	0	0	0	0	0	0	0.4	0
ABCD4	NW_008795405.1	1552407	1568099	2592	1863	13829	3342	2970	1793.8808373591	1594.20289855072	34.6689186473124	33.4821730175422	6	36	5	10	2	3	4	4	1	0	1	1	0.833333333333333	2
ABCE1	NW_008795365.1	4209924	4221625	2333	1783	9918	8303	9016	4656.75827257431	5056.64610207516	89.9974905522444	106.201977070846	1	23	1	1	3	8	0	0	0	0	0	0	1	0
ABCF2	NW_008795119.1	354642	367816	2427	1952	11222	5551	5392	2843.75	2762.29508196721	54.9589110659299	58.0149753485029	2	2	1	3	1	2	0	0	0	0	1	0	0.5	0
ABCF3	NW_008795629.1	5509802	5522556	2542	1937	10817	4032	3571	2081.56943727414	1843.5725348477	40.2288490833255	38.7195473288092	7	20	8	68	9	52	0	0	0	0	0	0	1.14285714285714	0
ABCG1	NW_008795695.1	12241878	12301485	5419	1921	57686	1432	1537	745.445080687142	800.104112441437	14.4066285341607	16.8041498037452	6	40	4	6	3	49	0	0	0	0	0	0	0.666666666666667	0
ABCG2	NW_008795365.1	832611	858871	2672	1977	24283	132	147	66.7678300455235	74.3550834597876	1.29036913706797	1.56163921882067	8	32	6	19	2	2	5	30	0	0	1	0	0.75	2.5
ABCG4	NW_008796189.1	168464	175843	1915	1915	5464	1773	987	925.848563968668	515.404699738903	17.8931442242366	10.824763489265	11	62	1	1	9	50	2	3	0	0	0	0	0.0909090909090909	0.222222222222222
ABCG5	NW_008795133.1	1306408	1325215	1925	1925	16882	110	38	57.1428571428571	19.7402597402597	1.10435488484129	0.414593896821703	7	41	8	20	6	24	6	18	0	0	0	0	1.14285714285714	1
ABCG8	NW_008795133.1	1292056	1306080	2148	2011	12013	191	63	94.977623073098	31.3276976628543	1.83555753484934	0.657958528580335	3	7	4	15	1	4	11	15	0	1	1	1	1.33333333333333	11
ABHD10	NW_008794854.1	3713740	3722058	1313	826	7492	662	558	801.452784503632	675.544794188862	15.4890452068842	14.1880984539006	2	8	2	3	3	50	3	3	0	0	0	0	1	1
ABHD11	NW_008795034.1	877428	878937	927	537	972	942	879	1754.18994413408	1636.87150837989	33.901844090519	34.378318532029	8	69	4	9	2	12	5	11	0	0	0	0	0.5	2.5
ABHD12	NW_008794584.1	467737	521073	3057	1127	52209	5371	3653	4765.74977817214	3241.3487133984	92.1038833304748	68.0762771983756	4	8	2	13	4	15	0	0	0	0	0	0	0.5	0
ABHD12B	NW_008794444.1	3079086	3086357	1422	1306	5965	3063	3070	2345.32924961715	2350.68912710567	45.3263267340776	49.3702402220936	10	25	4	7	5	14	3	4	0	0	0	0	0.4	0.6
ABHD13	NW_008795029.1	246678	253361	1225	1013	5670	1068	891	1054.2941757157	879.565646594275	20.3755111526987	18.4730370182669	2	4	0	0	0	0	0	0	0	0	0	0	0	
